source,target,interactions,movie
R2-D2,SHMI,1,Episode 1
R2-D2,JAR JAR,1,Episode 1
R2-D2,PADME,2,Episode 1
R2-D2,ANAKIN,6,Episode 1
SHMI,JAR JAR,3,Episode 1
SHMI,PADME,3,Episode 1
SHMI,ANAKIN,7,Episode 1
SHMI,QUI-GON,8,Episode 1
PADME,C-3PO,2,Episode 1
C-3PO,ANAKIN,3,Episode 1
SIO BIBBLE,OBI-WAN,1,Episode 1
DARTH MAUL,EMPEROR,3,Episode 1
KITSTER,ANAKIN,3,Episode 1
KITSTER,JAR JAR,1,Episode 1
KITSTER,WALD,1,Episode 1
KITSTER,QUI-GON,2,Episode 1
ANAKIN,JAR JAR,1,Episode 1
ANAKIN,WALD,1,Episode 1
JAR JAR,WALD,1,Episode 1
WALD,QUI-GON,2,Episode 1
SHMI,OBI-WAN,1,Episode 1
OBI-WAN,ANAKIN,5,Episode 1
WATTO,KITSTER,1,Episode 1
WATTO,PADME,1,Episode 1
WATTO,C-3PO,1,Episode 1
KITSTER,PADME,1,Episode 1
KITSTER,C-3PO,1,Episode 1
C-3PO,QUI-GON,1,Episode 1
SEBULBA,SHMI,1,Episode 1
SEBULBA,JABBA,1,Episode 1
SHMI,JABBA,1,Episode 1
JABBA,JAR JAR,1,Episode 1
JABBA,PADME,1,Episode 1
JABBA,ANAKIN,1,Episode 1
JABBA,QUI-GON,1,Episode 1
PADME,SHMI,2,Episode 1
WALD,GREEDO,1,Episode 1
WALD,ANAKIN,1,Episode 1
GREEDO,ANAKIN,1,Episode 1
GREEDO,QUI-GON,1,Episode 1
SHMI,KITSTER,1,Episode 1
CAPTAIN PANAKA,ANAKIN,2,Episode 1
NUTE GUNRAY,SIO BIBBLE,1,Episode 1
RIC OLIE,ANAKIN,4,Episode 1
VALORUM,JAR JAR,1,Episode 1
VALORUM,EMPEROR,2,Episode 1
VALORUM,QUI-GON,1,Episode 1
JAR JAR,EMPEROR,2,Episode 1
EMPEROR,QUI-GON,1,Episode 1
MACE WINDU,YODA,3,Episode 1
MACE WINDU,RABE,1,Episode 1
MACE WINDU,KI-ADI-MUNDI,2,Episode 1
MACE WINDU,ANAKIN,3,Episode 1
MACE WINDU,QUI-GON,2,Episode 1
YODA,RABE,1,Episode 1
YODA,KI-ADI-MUNDI,2,Episode 1
YODA,ANAKIN,3,Episode 1
YODA,QUI-GON,2,Episode 1
RABE,KI-ADI-MUNDI,1,Episode 1
RABE,ANAKIN,1,Episode 1
RABE,QUI-GON,1,Episode 1
KI-ADI-MUNDI,ANAKIN,2,Episode 1
KI-ADI-MUNDI,QUI-GON,2,Episode 1
VALORUM,BAIL ORGANA,1,Episode 1
BAIL ORGANA,EMPEROR,1,Episode 1
KI-ADI-MUNDI,MACE WINDU,1,Episode 1
KI-ADI-MUNDI,YODA,1,Episode 1
MACE WINDU,OBI-WAN,2,Episode 1
YODA,OBI-WAN,3,Episode 1
OBI-WAN,KI-ADI-MUNDI,1,Episode 1
PADME,BOSS NASS,1,Episode 1
NUTE GUNRAY,DARTH MAUL,3,Episode 1
CAPTAIN PANAKA,BOSS NASS,1,Episode 1
CAPTAIN PANAKA,PADME,1,Episode 1
OBI-WAN,PADME,1,Episode 1
BOSS NASS,JAR JAR,1,Episode 1
BOSS NASS,PADME,1,Episode 1
BOSS NASS,ANAKIN,1,Episode 1
NUTE GUNRAY,GENERAL CEEL,1,Episode 1
DARTH MAUL,GENERAL CEEL,1,Episode 1
EMPEROR,GENERAL CEEL,1,Episode 1
DARTH MAUL,RUNE,1,Episode 1
BRAVO TWO,RIC OLIE,4,Episode 1
BRAVO TWO,R2-D2,1,Episode 1
BRAVO TWO,ANAKIN,2,Episode 1
R2-D2,RIC OLIE,1,Episode 1
JAR JAR,GENERAL CEEL,1,Episode 1
NUTE GUNRAY,PADME,1,Episode 1
DOFINE,TEY HOW,1,Episode 1
BRAVO TWO,BRAVO THREE,2,Episode 1
BRAVO THREE,RIC OLIE,2,Episode 1
BRAVO THREE,ANAKIN,1,Episode 1
PADME,EMPEROR,1,Episode 1
EMPEROR,CAPTAIN PANAKA,1,Episode 1
YODA,MACE WINDU,1,Episode 1
